,XOM_adjOpen,COP_adjOpen,CVX_adjOpen,TTE_adjOpen,OXY_adjOpen,XOM_adjClose,COP_adjClose,CVX_adjClose,TTE_adjClose,OXY_adjClose
2016-10-07 00:00:00+00:00,65.6065141228,38.4247240714,80.3475856055,35.7419752838,58.4070770717,65.4480625074,38.1829505267,80.1672934621,35.3214814569,58.193421594
2016-10-10 00:00:00+00:00,66.0516877092,38.5369760743,80.9041396131,35.7788607072,58.644472047,66.7307660612,38.3297416074,81.5077263537,36.0075503324,59.1667409925
2016-10-11 00:00:00+00:00,66.4591347204,38.2692982212,81.3509505769,36.0739440945,58.9768250123,66.2025940096,37.4144560453,80.7708802028,35.4321377272,58.3121190816
2016-10-12 00:00:00+00:00,65.8102376284,37.276299734,80.5357165376,35.6165648442,58.3833375742,65.7423297932,37.5353428176,80.0732279961,35.668204437,58.5574272227
2016-10-13 00:00:00+00:00,65.1537952215,37.0457216851,79.5558679327,35.1886939327,58.0509846089,65.3122468369,36.611422486,79.0071527139,35.4985314893,58.4782955643
2016-10-14 00:00:00+00:00,65.7876016834,36.7851421657,79.5480291438,36.0739440945,59.0322171732,65.2971562069,36.1944952549,79.2344775902,35.808369046,57.9402002871
2016-10-17 00:00:00+00:00,65.2518843168,36.116321399,79.1247345465,35.4542689812,57.9402002871,65.2971562069,35.6993941679,79.4539636777,35.48377732,57.346712849
2016-10-18 00:00:00+00:00,65.7725110533,36.125007383,79.9478073746,35.8673857234,57.9876792822,65.4706984524,35.3085248887,79.7910315978,35.808369046,57.4258445075
2016-10-19 00:00:00+00:00,65.7876016834,35.5777903921,80.3240692389,35.5796794208,58.0984636039,65.7725110533,36.2379251748,80.1672934621,35.6608273523,58.9609986806
2016-10-20 00:00:00+00:00,65.4857890825,35.9426017194,79.6734497653,35.8305003,58.5178613935,65.8026923134,36.0381475432,79.8537419086,35.808369046,58.6365588811
2016-10-21 00:00:00+00:00,65.2066124266,35.7601960557,79.2188000126,35.3067272876,58.1380294331,65.3575187271,36.0815774631,79.4069309447,35.6165648442,59.040130339
2016-10-24 00:00:00+00:00,65.4480625074,36.3682149345,79.6107394545,35.9264024009,59.1271751633,65.5763328627,36.6895963419,78.905248459,35.8600086387,59.3724833043
2016-10-25 00:00:00+00:00,65.3952453022,36.5940505181,78.9757975585,35.7050898604,59.2142199875,65.4329718773,36.3160990306,78.9914751362,35.6091877595,58.8976933539
2016-10-26 00:00:00+00:00,65.0783420712,35.8296839276,78.6387296384,35.2108251867,58.3200322475,65.7121485332,36.3074130466,79.3207042675,35.3731210497,58.8660406905
2016-10-27 00:00:00+00:00,65.8555095186,36.646166422,79.5715455103,35.7641065379,59.1350883291,65.5838781778,38.2183295228,78.3251780849,35.690335691,58.39125074
2016-10-28 00:00:00+00:00,64.346446514,38.8263484015,79.2658327456,35.4100064731,58.4703823985,63.9691807629,39.0608699691,81.3823057323,35.5944335902,58.2646400866
2016-10-31 00:00:00+00:00,63.2901024108,38.8784643054,81.3823057323,35.4247606425,58.2725532524,62.8675647696,37.7406004037,82.1113130944,35.2182022714,57.694892146
